title,upvotes,downvotes,comments_counted,released_on
E630 - Explore! A Kingdom of Love and Passion - Dressrosa!,6.5K,66,769 Comments,"Released on Jan 25, 2014"
E631 - Full of Enthusiasm! The Corrida Colosseum!,5K,35,597 Comments,"Released on Feb 1, 2014"
E632 - A Dangerous Love! The Dancer Girl - Violet!,5.3K,42,877 Comments,"Released on Feb 8, 2014"
"E633 - A Formidable, Unknown Warrior! Here Comes Lucy!",4.8K,42,762 Comments,"Released on Feb 15, 2014"
E634 - A Pirate Noble! Cavendish!,4.6K,35,600 Comments,"Released on Feb 22, 2014"
E635 - The Fateful Reunion! Bellamy the Hyena!,4.6K,25,737 Comments,"Released on Mar 1, 2014"
E636 - A Super Rookie! Bartolomeo the Cannibal!,4.7K,41,624 Comments,"Released on Mar 15, 2014"
E637 - Big Names Duke It Out! The Heated Block B Battle!,4.5K,50,521 Comments,"Released on Mar 22, 2014"
E638 - A Deadly Blow! The Astonishing King Punch!,4.6K,39,604 Comments,"Released on Mar 29, 2014"
E639 - The Fighting Fish Strike! Across the Deadly Iron Bridge!,4.8K,41,781 Comments,"Released on Apr 5, 2014"
E640 - Explore! Fairies' Island - Green Bit!,4.7K,34,672 Comments,"Released on Apr 12, 2014"
E641 - The Unknown World! The Tontatta Kingdom!,4.5K,35,636 Comments,"Released on Apr 19, 2014"
E642 - The Stratagem of the Century! Doflamingo Makes His Move!,4.9K,39,590 Comments,"Released on Apr 26, 2014"
E643 - Shaking Heaven and Earth! Admiral Fujitora's Power!,5.1K,29,689 Comments,"Released on May 3, 2014"
E644 - A Blow of Anger! A Giant vs. Lucy!,5.4K,45,940 Comments,"Released on May 10, 2014"
E645 - Destruction Cannon Blasts! Lucy in trouble!,4.7K,38,608 Comments,"Released on May 17, 2014"
E646 - The Legendary Pirate! Don Chinjao!,6.3K,35,"1,083 Comments","Released on May 24, 2014"
E647 - Light and Shadow! Darkness behind Dressrosa!,4.7K,44,554 Comments,"Released on May 31, 2014"
E648 - Making a Sortie! The Legendary Hero Usoland!,4.7K,41,593 Comments,"Released on Jun 7, 2014"
E649 - The Fierce Battle Coming to the End! Lucy vs. Chinjao!,5K,24,719 Comments,"Released on Jun 14, 2014"
E650 - Luffy and the Gladiator of Fate - Rebecca!,5.5K,23,"1,262 Comments","Released on Jun 21, 2014"
E651 - Protect You to the End! Rebecca and the Toy Soldier!,4.9K,56,915 Comments,"Released on Jun 28, 2014"
