title,upvotes,downvotes,comments_counted,released_on
E1 - Eu Sou Luffy! Aquele Que Será o Rei dos Piratas!,37.6K,1.1K,2.043 Comentários,Lançado em 1 mar 2014
"E2 - O Grande Espadachim! O Caçador de Piratas, Roronoa Zoro!",9.4K,207,388 Comentários,Lançado em 1 mar 2014
E3 - Morgan vs. Luffy! Quem é a Linda Jovem?,7.6K,120,297 Comentários,Lançado em 1 mar 2014
"E4 - O Passado de Luffy! Shanks, o Ruivo!",7K,80,228 Comentários,Lançado em 1 mar 2014
"E5 - Um Poder Misterioso e Amedrontador! O Capitão Pirata Buggy, o Palhaço!",5.7K,74,337 Comentários,Lançado em 1 mar 2014
E6 - Situação Desesperadora! O Domador de Feras Mohji vs. Luffy!,5.8K,73,203 Comentários,Lançado em 1 mar 2014
"E7 - Grande Duelo! Zoro, o Espadachim vs. Cabaji, o Acrobata!",5.3K,54,223 Comentários,Lançado em 1 mar 2014
E8 - Quem Vencerá?! A Batalha Entre os Poderes dos Frutos do Diabo!,5.2K,51,205 Comentários,Lançado em 1 mar 2014
E9 - Um Mentiroso com Honra? O Capitão Usopp!,5.2K,55,146 Comentários,Lançado em 1 mar 2014
"E10 - O Homem Mais Esquisito do Mundo! Jango, o Hipnotizador!",4.5K,53,212 Comentários,Lançado em 1 mar 2014
"E11 - A Conspiração é Revelada! O Pirata Mordomo, Capitão Kuro!",4.3K,67,198 Comentários,Lançado em 1 mar 2014
E12 - Batalha Contra os Piratas do Gato Preto! O Embate no Desfiladeiro!,3.8K,53,183 Comentários,Lançado em 1 mar 2014
E13 - A Dupla Terrível! Os Irmãos Nyaban vs. Zoro!,3.7K,39,175 Comentários,Lançado em 1 mar 2014
E14 - O Retorno de Luffy! A Vida de Kaya e o Combate Final!,3.6K,51,138 Comentários,Lançado em 1 mar 2014
E15 - Derrotem Kuro! A Determinação Inabalável de Usopp!,3.8K,57,198 Comentários,Lançado em 1 mar 2014
E16 - Protejam Kaya! Os Piratas de Usopp em Ação!,3.7K,45,168 Comentários,Lançado em 1 mar 2014
E17 - Explosão de Fúria! Kuro vs. Luffy - A Batalha Final!,4.3K,40,178 Comentários,Lançado em 1 mar 2014
E18 - Você é um Animal Especial! Gaimon e Seus Incríveis Amigos!,4K,52,137 Comentários,Lançado em 1 mar 2014
E19 - O Passado das Três Espadas! A Promessa de Zoro e Kuina!,4.1K,43,168 Comentários,Lançado em 1 mar 2014
"E20 - O Famoso Cozinheiro! Sanji, do Restaurante Flutuante!",3.8K,37,122 Comentários,Lançado em 1 mar 2014
E21 - Um Cliente Inesperado! A Comida de Sanji e a Graça de Gin!,3.6K,36,144 Comentários,Lançado em 1 mar 2014
E22 - A Maior Frota de Piratas! O Capitão Don Krieg!,3.5K,25,140 Comentários,Lançado em 1 mar 2014
"E23 - Protejam o Baratie! O Grande Pirata, Zeff Perna Rubra!",3.6K,26,166 Comentários,Lançado em 1 mar 2014
E24 - Mihawk Olhos de Gavião! O Espadachim Zoro à Deriva!,4.3K,22,141 Comentários,Lançado em 1 mar 2014
"E25 - O Despertar dos Chutes Implacáveis! Sanji vs. Pearl, a Muralha de Ferro!",3.5K,40,121 Comentários,Lançado em 1 mar 2014
"E26 - O Sonho de Zeff e Sanji! O Mar dos Sonhos, All Blue!",3.5K,35,125 Comentários,Lançado em 1 mar 2014
"E27 - Um Homem Demoníaco e Sem Coração! Gin, o Comandante de Batalha da Frota Pirata!",3.3K,35,186 Comentários,Lançado em 1 mar 2014
E28 - Não Morrerei! Luffy vs. Krieg - A Conclusão!,3.6K,31,125 Comentários,Lançado em 1 mar 2014
E29 - O Resultado de Uma Batalha Mortal! Uma Lança Feita de Determinação!,3.5K,22,159 Comentários,Lançado em 1 mar 2014
E30 - A Partida! O Cozinheiro do Mar e Luffy Viajam Juntos!,4.3K,23,174 Comentários,Lançado em 1 mar 2014
"E31 - O Homem Mais Perigoso de East Blue! Arlong, o Homem-Peixe!",3.5K,35,210 Comentários,Lançado em 8 mar 2014
