title,upvotes,downvotes,comments_counted,released_on
E385 - Halfway Across the Grand Line! Arrival at the Red Line!,7.4K,71,779 Comments,"Released on Nov 22, 2014"
E386 - Hatred for the Straw Hats! Iron Mask Duval Appears!,5.6K,41,833 Comments,"Released on Nov 22, 2014"
E387 - The Fated Reunion! Save the Imprisoned Fishman!,5.3K,51,735 Comments,"Released on Nov 22, 2014"
E388 - Tragedy! The Truth Hidden Behind Duval's Mask!,5.5K,49,930 Comments,"Released on Nov 22, 2014"
"E389 - Unleash the Sunny's Super Secret Weapon, the Gaon Cannon!",5.4K,37,934 Comments,"Released on Nov 22, 2014"
E390 - Landing on the Way to Fishman Island! The Sabaody Archipelago!,5.4K,51,651 Comments,"Released on Nov 22, 2014"
"E391 - Tyranny! The Roles of Sabaody, the Celestial Dragons",5.2K,39,543 Comments,"Released on Sep 20, 2014"
E392 - New Rivals Gather! The 11 Supernovas,5.8K,48,623 Comments,"Released on Sep 20, 2014"
E393 - The Target is Camie!! The Looming Clutches of a Professional Kidnapper,5.7K,40,694 Comments,"Released on Sep 20, 2014"
E394 - Rescue Camie! The Archipelago’s Lingering Dark History,5.7K,43,690 Comments,"Released on Sep 20, 2014"
E395 - Time Limit – The Human Auction Begins,5K,28,609 Comments,"Released on Sep 20, 2014"
E396 - The Fist Explodes! Destroy the Auction,8.2K,24,952 Comments,"Released on Sep 20, 2014"
E397 - Major Panic! Desperate Struggle at the Auction House,6.4K,26,636 Comments,"Released on Sep 20, 2014"
E398 - Admiral Kizaru Takes Action! Sabaody Archipelago Thrown into Chaos,6K,26,656 Comments,"Released on Sep 20, 2014"
E399 - Break Through the Siege! The Navy Vs. the Three Captains,6.2K,33,558 Comments,"Released on Sep 20, 2014"
E400 - Roger and Rayleigh – the King of the Pirates and His Right Hand Man,7.6K,40,659 Comments,"Released on Sep 20, 2014"
E401 - No Escape!? Admiral Kizaru’s Light Speed Kick!!,6K,42,553 Comments,"Released on Sep 20, 2014"
"E402 - Overwhelming! The Navy’s Fighting Weapons, the Pacifistas",5.8K,29,736 Comments,"Released on Sep 20, 2014"
E403 - An Even Stronger Enemy Appears! The Battle Axe-Carrying Senfomaru,5.4K,33,685 Comments,"Released on Sep 20, 2014"
