title,upvotes,downvotes,comments_counted,released_on
E326 - The Mysterious Band of Pirates! Sunny and the Dangerous Trap!,11.7K,206,"1,081 Comments","Released on Sep 6, 2014"
"E327 - Sunny in a Pinch! Roar, Secret Superspeed Mecha!",6.1K,91,"1,503 Comments","Released on Sep 6, 2014"
"E328 - The Dream Sinking in the New World! the Disillusioned Pirate, Puzzle!",5.2K,74,623 Comments,"Released on Sep 6, 2014"
E329 - The Assassins Attack! the Great Battle On Ice Begins!,4.8K,76,532 Comments,"Released on Sep 6, 2014"
E330 - The Straw Hat's Hard Battles! a Pirate Soul Risking It All for the Flag!,4.2K,93,510 Comments,"Released on Sep 6, 2014"
E331 - Hot Full Throttle! the Twin's Magnetic Power Drawing Near!,3.8K,101,492 Comments,"Released on Sep 6, 2014"
E332 - Mansion of Great Chaos! the Enraged Don and the Captured Crew!,3.7K,95,527 Comments,"Released on Sep 6, 2014"
E333 - The Return of the Phoenix! the Dream of the Pirate Flag Sworn to a Friend!,3.6K,67,437 Comments,"Released on Sep 6, 2014"
E334 - The Red Hot Decisive Battle! Luffy vs. the Scorching Don!,3.8K,63,464 Comments,"Released on Sep 6, 2014"
E335 - Waiting in the New World! Farewell to the Brave Pirates!,4.1K,60,578 Comments,"Released on Sep 6, 2014"
E336 - Chopperman to the Rescue! Protect the TV Station by the Shore!,3.8K,111,510 Comments,"Released on Sep 6, 2014"
E337 - The Mysterious Skeleton Floating Through the Fog! Venture Into the Devil's Sea!,8.3K,42,961 Comments,"Released on Sep 6, 2014"
E338 - The Joy of Seeing People! The Gentleman Skeleton's True Identity,7.1K,46,798 Comments,"Released on Sep 6, 2014"
E339 - One Unnatural Phenomenon After the Next! Disembarking On Thriller Bark,6.4K,58,827 Comments,"Released on Sep 6, 2014"
E340 - The Man Called a Genius! Hogback Makes His Appearance!,6.1K,65,742 Comments,"Released on Sep 6, 2014"
E341 - Nami's in a Major Pinch! the Zombie Mansion and the Invisible Man,6K,62,"1,112 Comments","Released on Sep 13, 2014"
E342 - The Zombie's Secret! Hogback's Nightmarish Laboratory,5.8K,49,774 Comments,"Released on Sep 13, 2014"
E343 - His Name Is Moria! the Great Shadow-Seizing Pirate's Trap,5.4K,46,644 Comments,"Released on Sep 13, 2014"
E344 - Feast of the Zombie Song! The Night Raid's Bell Is the Sound of Darkness!,5.3K,51,714 Comments,"Released on Sep 13, 2014"
E345 - A Bunch of Animals? Perona's Wonder Garden,5K,56,645 Comments,"Released on Sep 13, 2014"
E346 - The Vanishing Straw Hat Crew! a Mysterious Swordsman Appears!,4.8K,41,856 Comments,"Released on Sep 13, 2014"
E347 - Chivalry Remains! The Traitorous Zombie Protects Nami,4.8K,44,609 Comments,"Released on Sep 13, 2014"
E348 - Appearing from the Sky! That Man Is the Humming Swordsman!,5K,41,707 Comments,"Released on Sep 13, 2014"
E349 - Luffy's Emergency Situation! the Ultimate Shadow's Destination!,4.7K,68,505 Comments,"Released on Sep 13, 2014"
"E350 - The Warrior Known As the ""Devil""!! The Moment of Oars' Revival",4.7K,37,582 Comments,"Released on Sep 13, 2014"
E351 - Awakening After 500 Years!! Oars Opens His Eyes!!,4.9K,51,604 Comments,"Released on Sep 20, 2014"
E352 - A Belief Worth Begging to Live for!! Brook Defends His Afro,4.7K,31,488 Comments,"Released on Sep 20, 2014"
E353 - A Man's Promise Never Dies!! To the Friend Waiting Under the Distant Sky,5.6K,37,710 Comments,"Released on Sep 20, 2014"
E354 - I Swear to Go See Him! Brook and the Cape of Promise,5.1K,65,516 Comments,"Released on Sep 20, 2014"
"E355 - Food, Nami and Shadows!! Luffy's Enraged Counterattack",4.8K,44,602 Comments,"Released on Sep 20, 2014"
E356 - Usopp's the Strongest? Leave Anything Negative to Him,5.1K,47,698 Comments,"Released on Sep 20, 2014"
E357 - The General Zombies Are Down in a Flash!! Oars Feels Like an Adventure!!,5K,42,610 Comments,"Released on Sep 20, 2014"
E358 - Blazing Knight Sanji!! Kick Down the Fake Wedding,5K,34,485 Comments,"Released on Sep 20, 2014"
E359 - A Clear-Clear History? Sanji's Stolen Dream,4.9K,56,669 Comments,"Released on Sep 20, 2014"
"E360 - Save Me, Hero!! My Enemy Is the Immortal Princess",5.4K,40,842 Comments,"Released on Sep 20, 2014"
"E361 - Perona Is Terrified!! Usopp and Untruthful Share the Same ""U""",5K,41,750 Comments,"Released on Oct 4, 2014"
E362 - Slashes Dancing On the Rooftop!! Zoro vs. Ryuma's Showdown,5.3K,31,541 Comments,"Released on Oct 4, 2014"
E363 - Chopper Is Furious!! Hogback's Evil Medical Practices,4.7K,40,555 Comments,"Released on Oct 4, 2014"
"E364 - Oars Roars! Come Out, Straw Hat Crew",4.9K,29,503 Comments,"Released on Oct 4, 2014"
E365 - Luffy Is the Enemy! The Ultimate Zombie vs. The Straw Hat Crew,4.7K,54,716 Comments,"Released on Oct 4, 2014"
"E366 - You’re Going Down, Absalom!! Nami’s Lightning Attack of Friendship!!",4.7K,31,663 Comments,"Released on Oct 4, 2014"
E367 - Knock Him Down!! Special Attack: Straw Hat Docking?,5.1K,31,733 Comments,"Released on Oct 4, 2014"
"E368 - The Silent Assault!! The Mysterious Visitor, ‘Tyrant’ Kuma!",4.9K,33,643 Comments,"Released on Oct 4, 2014"
E369 - Oars + Moria! The Most Heinous Combination of Brains and Brawn!,4.7K,33,449 Comments,"Released on Oct 4, 2014"
E370 - The Secret Plan to Turn the Tables! Nightmare Luffy Makes His Appearance!,4.9K,33,502 Comments,"Released on Oct 4, 2014"
E371 - The Straw Hat Crew Gets Wiped Out! The Shadow-Shadow’s Powers in Full Swing!,4.4K,20,491 Comments,"Released on Oct 4, 2014"
E372 - The Incredible Battle Starts! Luffy vs. Luffy!,5.4K,35,731 Comments,"Released on Oct 4, 2014"
E373 - The End of the Battle Is Nigh! Pound in the Finishing Move!,5.2K,41,575 Comments,"Released on Oct 18, 2014"
E374 - Our Bodies Vanish! The Morning Sun Shines on the Nightmarish Island!,4.8K,42,553 Comments,"Released on Oct 18, 2014"
E375 - Not Out of Danger Yet! Orders to Annihilate the Straw Hat Crew!,5.4K,39,537 Comments,"Released on Oct 18, 2014"
E376 - It Repels Everything! Kuma’s Paw-Paw Power!,6.3K,37,808 Comments,"Released on Oct 18, 2014"
E377 - The Pain of My Crewmates Is My Pain! Zoro's Desperate Fight!,11.3K,44,"1,255 Comments","Released on Oct 18, 2014"
E378 - The Promise from a Distant Day! The Pirates' Song and a Small Whale!,6.5K,39,688 Comments,"Released on Oct 18, 2014"
E379 - Brook's Past! A Sad Farewell with His Cheerful Comrade!,5.9K,30,822 Comments,"Released on Oct 18, 2014"
E380 - Bink's Booze! The Song that Connects the Past with the Present!,7.3K,29,957 Comments,"Released on Oct 18, 2014"
"E381 - A New Crewmate! The Musician, Humming Brook!",6.7K,31,"1,025 Comments","Released on Oct 18, 2014"
E382 - The Slow-Slow Menace! 'Silver Fox' Foxy Returns!,3.8K,70,578 Comments,"Released on Oct 18, 2014"
E383 - The Great Scramble for Treasure! Collapse! Spa Island!,3.3K,54,556 Comments,"Released on Oct 18, 2014"
E384 - Brook's Great Struggle! Is the Path to Becoming a True Comrade Rigorous?,5K,40,507 Comments,"Released on Oct 18, 2014"
