title,upvotes,downvotes,comments_counted,released_on
E207 - Great Adventure at Long Ring Long Land!,5.7K,45,"1,203 Comments","Released on Apr 26, 2014"
E208 - A Davy Back With the Foxy Pirates!,3.7K,58,850 Comments,"Released on Apr 26, 2014"
E209 - Round 1! One Lap of the Donut Race!,3.1K,53,506 Comments,"Released on Apr 26, 2014"
E210 - Silver Fox Foxy! the Merciless Interference!,3K,47,663 Comments,"Released on Apr 26, 2014"
E211 - Round 2! Shoot It Into the Groggy Ring!,3K,85,671 Comments,"Released on Apr 26, 2014"
E212 - A Barrage of Red Cards in Groggy Ring!,3K,51,735 Comments,"Released on Apr 26, 2014"
E213 - Round 3! the Round-and-Round Roller Race!,2.7K,66,456 Comments,"Released on Apr 26, 2014"
E214 - A Seriously Heated Race! Into the Final Round!,2.6K,46,435 Comments,"Released on Apr 26, 2014"
E215 - Screaming-Hot Bombardment! Pirate Dodgeball!,2.7K,120,624 Comments,"Released on Apr 26, 2014"
"E216 - Showdown On the Cliff! Red Light, Green Light!",2.4K,237,692 Comments,"Released on Apr 26, 2014"
E217 - The Captains Square Off! The Final Combat Round!,2.8K,121,566 Comments,"Released on Apr 26, 2014"
E218 - Full-Blast Slow-Slow Onslaught vs. Invulnerable Luffy!,2.6K,152,735 Comments,"Released on Apr 26, 2014"
"E219 - Epic, Heated Combat! the Fateful Final Conclusion!",3.1K,112,818 Comments,"Released on Apr 26, 2014"
E220 - Was It Lost? Stolen? Who Are You?,2.8K,53,468 Comments,"Released on Apr 26, 2014"
E221 - A Mysterious Boy With a Horn and Robin's Deduction!,2.2K,40,414 Comments,"Released on Apr 26, 2014"
"E222 - Now, Let's Get Back Our Memories! the Pirate Crew Lands On the Island!",2.1K,26,378 Comments,"Released on Apr 26, 2014"
E223 - Zoro Bares His Fangs! a Savage Animal Stands in the Way!,2.2K,27,397 Comments,"Released on Apr 26, 2014"
E224 - The Last Counterattack by the Memory Thief Who Reveals His True Colors!,2.2K,26,427 Comments,"Released on Apr 26, 2014"
E225 - Proud Man! Silver Fox Foxy!,2.5K,86,567 Comments,"Released on Apr 26, 2014"
