title,upvotes,downvotes,comments_counted,released_on
E62 - The First Line of Defense? the Giant Whale Laboon Appears!,4.4K,43,555 Comments,"Released on Mar 8, 2014"
E63 - A Promise Between Men! Luffy and the Whale Vow to Meet Again!,3.1K,24,511 Comments,"Released on Mar 8, 2014"
E64 - A Town That Welcomes Pirates? Setting Foot On Whisky Peak!,3.3K,31,542 Comments,"Released on Mar 15, 2014"
E65 - Explosion! the Three Swords Style! Zoro Vs. Baroque Works!,3K,24,495 Comments,"Released on Mar 15, 2014"
"E66 - All-out Battle! Luffy Vs. Zoro, Mysterious Grand Duel!",2.9K,29,506 Comments,"Released on Mar 15, 2014"
E67 - Deliver Princess Vivi! the Luffy Pirates Set Sail!,3K,32,552 Comments,"Released on Mar 15, 2014"
"E68 - Try Hard, Coby! Coby and Helmeppo's Struggles in the Marines!",2.6K,41,355 Comments,"Released on Mar 15, 2014"
E69 - Coby and Helmeppo's Resolve! Vice-Admiral Garp's Parental Affection!,2.6K,27,493 Comments,"Released on Mar 15, 2014"
E70 - An Ancient Island! the Shadow Hiding in Little Garden!,3K,22,456 Comments,"Released on Mar 15, 2014"
E71 - Huge Duel! the Giants Dorry and Broggy!,2.7K,23,614 Comments,"Released on Mar 15, 2014"
E72 - Luffy Gets Angry! a Dirty Trick Violates the Sacred Duel!,2.7K,24,374 Comments,"Released on Mar 15, 2014"
E73 - Broggy's Bitter Tears of Victory! The Conclusion of Elbaf!,2.5K,28,379 Comments,"Released on Mar 15, 2014"
E74 - The Devilish Candle! Tears of Regret and Tears of Anger!,2.4K,23,437 Comments,"Released on Mar 15, 2014"
E75 - A Hex On Luffy! Colors Trap!,2.3K,29,365 Comments,"Released on Mar 15, 2014"
E76 - Time to Fight Back! Usopp's Quick Thinking and Fire Star!,2.5K,24,462 Comments,"Released on Mar 15, 2014"
E77 - Farewell Giant Island! Head for Alabasta!,2.7K,20,443 Comments,"Released on Mar 15, 2014"
E78 - Nami's Sick? Beyond the Snow Falling On the Stars!,2.8K,16,422 Comments,"Released on Mar 15, 2014"
E79 - A Raid! the Tin Tyrant and Tin Plate Wapol!,2.7K,19,410 Comments,"Released on Mar 15, 2014"
E80 - An Island Without Doctors? Adventure in a Nameless Land!,2.5K,26,442 Comments,"Released on Mar 15, 2014"
E81 - Are You Happy? the Doctor Called Witch!,2.6K,15,359 Comments,"Released on Mar 15, 2014"
E82 - Dalton's Resolve! Wapol's Corps Land On the Island!,2.5K,20,420 Comments,"Released on Mar 22, 2014"
E83 - The Island Where Snow Lives! Climb the Drum Rockies!,2.7K,17,581 Comments,"Released on Mar 22, 2014"
E84 - Blue-nosed Reindeer! Chopper's Secret!,2.8K,13,428 Comments,"Released on Mar 22, 2014"
E85 - An Outcast's Dream! Hiriluk the Quack!,2.7K,14,460 Comments,"Released on Mar 22, 2014"
E86 - Hiriluk's Cherry Blossoms and the Will That Gets Carried On!,3.1K,18,506 Comments,"Released on Mar 22, 2014"
E87 - Fight Wapol's Crew! the Power of the Munch Munch Fruit!,2.6K,13,362 Comments,"Released on Mar 22, 2014"
E88 - Zoan-type Devil Fruit! Chopper's Seven-form Transformation!,2.6K,19,375 Comments,"Released on Mar 22, 2014"
E89 - When the Kingdom's Rule Ends! the Flag of Faith Flies Forever!,2.8K,17,476 Comments,"Released on Mar 22, 2014"
E90 - Hiriluk's Cherry Blossoms! Miracle in the Drum Rockies!,3.4K,21,549 Comments,"Released on Mar 22, 2014"
E91 - Goodbye Drum Island! I'm Going Out to Sea!,3K,22,511 Comments,"Released on Mar 22, 2014"
E92 - Alabasta's Hero and a Ballerina On the Ship!,2.7K,21,440 Comments,"Released on Mar 22, 2014"
E93 - Off to the Desert Kingdom! the Rain-Summoning Powder and the Rebel Army!,2.6K,20,412 Comments,"Released on Mar 22, 2014"
E94 - The Heroes' Reunion! His Name Is Fire Fist Ace!,3.2K,15,486 Comments,"Released on Mar 22, 2014"
E95 - Ace and Luffy! Hot Emotions and Brotherly Bonds!,3.1K,15,461 Comments,"Released on Mar 22, 2014"
